Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Eating and feeding disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Eating and feeding disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Eating and feeding disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Tic disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Tic disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Tic disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   ADHD,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   ADHD,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   ADHD,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2018–2019,Neurocognitive disorders,Female,Agegroup:5–24years–Rate,1.5,,,Hospitalization
2018–2019,Neurocognitive disorders,Male,Agegroup:5–24years–Rate,1.5,,,Hospitalization
2018–2019,Neurocognitive disorders,Total,Agegroup:5–24years–Rate,1.5,,,Hospitalization
2018–2019,Substance-related disorders,Female,Agegroup:5–24years–Rate,55.8,,,Hospitalization
2018–2019,Substance-related disorders,Male,Agegroup:5–24years–Rate,83.8,,,Hospitalization
2018–2019,Substance-related disorders,Total,Agegroup:5–24years–Rate,70.2,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:5–24years–Rate,40.5,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:5–24years–Rate,101.7,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:5–24years–Rate,72.0,,,Hospitalization
2018–2019,Mood disorders,Female,Agegroup:5–24years–Rate,200.1,,,Hospitalization
2018–2019,Mood disorders,Male,Agegroup:5–24years–Rate,108.0,,,Hospitalization
2018–2019,Mood disorders,Total,Agegroup:5–24years–Rate,152.6,,,Hospitalization
2018–2019,Anxiety disorders,Female,Agegroup:5–24years–Rate,54.1,,,Hospitalization
2018–2019,Anxiety disorders,Male,Agegroup:5–24years–Rate,25.3,,,Hospitalization
2018–2019,Anxiety disorders,Total,Agegroup:5–24years–Rate,39.2,,,Hospitalization
2018–2019,Personality disorders,Female,Agegroup:5–24years–Rate,69.3,,,Hospitalization
2018–2019,Personality disorders,Male,Agegroup:5–24years–Rate,19.3,,,Hospitalization
2018–2019,Personality disorders,Total,Agegroup:5–24years–Rate,43.5,,,Hospitalization
2018–2019,Other disorders,Female,Agegroup:5–24years–Rate,208.4,,,Hospitalization
2018–2019,Other disorders,Male,Agegroup:5–24years–Rate,124.8,,,Hospitalization
2018–2019,Other disorders,Total,Agegroup:5–24years–Rate,165.4,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:5–24years–Rate,123.8,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:5–24years–Rate,58.7,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:5–24years–Rate,90.3,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–24years–Rate,14.9,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–24years–Rate,18.8,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–24years–Rate,16.9,,,Hospitalization
2018–2019,   Eating and feeding disorders,Female,Agegroup:5–24years–Rate,27.1,,,Hospitalization
2018–2019,   Eating and feeding disorders,Male,Agegroup:5–24years–Rate,3.1,,,Hospitalization
2018–2019,   Eating and feeding disorders,Total,Agegroup:5–24years–Rate,14.7,,,Hospitalization
2018–2019,   Tic disorders,Female,Agegroup:5–24years–Rate,0.7,,,Hospitalization
2018–2019,   Tic disorders,Male,Agegroup:5–24years–Rate,1.1,,,Hospitalization
2018–2019,   Tic disorders,Total,Agegroup:5–24years–Rate,0.9,,,Hospitalization
2018–2019,   ADHD,Female,Agegroup:5–24years–Rate,9.6,,,Hospitalization
2018–2019,   ADHD,Male,Agegroup:5–24years–Rate,16.4,,,Hospitalization
2018–2019,   ADHD,Total,Agegroup:5–24years–Rate,13.1,,,Hospitalization
2019–2020,Neurocognitive disorders,Female,Agegroup:5–24years–Rate,0.9,,,Hospitalization
2019–2020,Neurocognitive disorders,Male,Agegroup:5–24years–Rate,1.6,,,Hospitalization
2019–2020,Neurocognitive disorders,Total,Agegroup:5–24years–Rate,1.2,,,Hospitalization
2019–2020,Substance-related disorders,Female,Agegroup:5–24years–Rate,54.0,,,Hospitalization
2019–2020,Substance-related disorders,Male,Agegroup:5–24years–Rate,82.3,,,Hospitalization
2019–2020,Substance-related disorders,Total,Agegroup:5–24years–Rate,68.6,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:5–24years–Rate,40.5,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:5–24years–Rate,96.4,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:5–24years–Rate,69.3,,,Hospitalization
2019–2020,Mood disorders,Female,Agegroup:5–24years–Rate,184.4,,,Hospitalization
2019–2020,Mood disorders,Male,Agegroup:5–24years–Rate,102.2,,,Hospitalization
2019–2020,Mood disorders,Total,Agegroup:5–24years–Rate,142.0,,,Hospitalization
2019–2020,Anxiety disorders,Female,Agegroup:5–24years–Rate,54.3,,,Hospitalization
2019–2020,Anxiety disorders,Male,Agegroup:5–24years–Rate,23.5,,,Hospitalization
2019–2020,Anxiety disorders,Total,Agegroup:5–24years–Rate,38.5,,,Hospitalization
2019–2020,Personality disorders,Female,Agegroup:5–24years–Rate,65.6,,,Hospitalization
2019–2020,Personality disorders,Male,Agegroup:5–24years–Rate,18.0,,,Hospitalization
2019–2020,Personality disorders,Total,Agegroup:5–24years–Rate,41.1,,,Hospitalization
2019–2020,Other disorders,Female,Agegroup:5–24years–Rate,200.6,,,Hospitalization
2019–2020,Other disorders,Male,Agegroup:5–24years–Rate,122.8,,,Hospitalization
2019–2020,Other disorders,Total,Agegroup:5–24years–Rate,160.5,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:5–24years–Rate,116.6,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:5–24years–Rate,55.8,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:5–24years–Rate,85.3,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–24years–Rate,13.5,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–24years–Rate,18.9,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–24years–Rate,16.3,,,Hospitalization
2019–2020,   Eating and feeding disorders,Female,Agegroup:5–24years–Rate,27.6,,,Hospitalization
