ref_date_raw,start_year,geo,sex,indicator,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,statistic,uom,scalar_factor
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,9.5,percent,,False,v1427746950,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,11.6,percent,,False,v1427746951,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,1626000.0,number,,True,v1427746952,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,1466000.0,number,,True,v1427746953,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,1786000.0,number,,True,v1427746954,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Women,Excellent or very good perceived health,53.9,percent,,False,v1427746955,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),Women,Excellent or very good perceived health,52.2,percent,,False,v1427746956,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Women,Excellent or very good perceived health,55.6,percent,,False,v1427746957,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Women,Excellent or very good perceived health,8536000.0,number,,True,v1427746958,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),Women,Excellent or very good perceived health,8269000.0,number,,True,v1427746959,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Women,Excellent or very good perceived health,8803000.0,number,,True,v1427746960,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Women,Good perceived health,33.8,percent,,False,v1427746961,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),Women,Good perceived health,32.2,percent,,False,v1427746962,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Women,Good perceived health,35.5,percent,,False,v1427746963,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Women,Good perceived health,5353000.0,number,,True,v1427746964,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),Women,Good perceived health,5092000.0,number,,True,v1427746965,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Women,Good perceived health,5614000.0,number,,True,v1427746966,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Women,Fair or poor perceived health,12.3,percent,,False,v1427746967,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),Women,Fair or poor perceived health,11.3,percent,,False,v1427746968,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Women,Fair or poor perceived health,13.4,percent,,False,v1427746969,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Women,Fair or poor perceived health,1948000.0,number,,True,v1427746970,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),Women,Fair or poor perceived health,1782000.0,number,,True,v1427746971,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Women,Fair or poor perceived health,2114000.0,number,,True,v1427746972,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,57.3,percent,,False,v1427746973,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,54.6,percent,,False,v1427746974,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,60.0,percent,,False,v1427746975,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,1178000.0,number,,True,v1427746976,2021-04,2016A00011,Number of persons,Number,thousands
2021-04,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,1122000.0,number,,True,v1427746977,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,1233000.0,number,,True,v1427746978,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,"Total, all persons",Good perceived health,29.5,percent,,False,v1427746979,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Good perceived health,27.0,percent,,False,v1427746980,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Good perceived health,32.1,percent,,False,v1427746981,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Good perceived health,607000.0,number,,True,v1427746982,2021-04,2016A00011,Number of persons,Number,thousands
