ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",63.0,,,percent,
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",64.4,,,percent,
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",58.0,,,percent,
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",49.7,,,percent,
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, fair or poor",12.1,,,percent,
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, fair or poor",12.4,,,percent,
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, fair or poor",16.2,,,percent,
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",16.2,,,percent,
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.0,,,percent,
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.3,,,percent,
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over",Mood disorder,10.1,,,percent,
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over",Mood disorder,10.4,,,percent,
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over",Mood disorder,12.3,,,percent,
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over",Anxiety disorder,11.9,,,percent,
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over",Anxiety disorder,11.9,,,percent,
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Cannabis use, past 12 months",30.6,,,percent,
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Cannabis use, past 12 months",28.6,,,percent,
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Cannabis use, past 12 months",27.7,,,percent,
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over",Heavy drinking,26.8,,,percent,
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over",Heavy drinking,25.7,,,percent,
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over",Heavy drinking,26.7,,,percent,
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",71.8,,,percent,
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.9,,,percent,
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.1,,,percent,
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",58.0,,,percent,
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",50.0,,,percent,
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",48.8,,,percent,
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, fair or poor",9.6,,,percent,
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, fair or poor",17.1,,,percent,
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, fair or poor",18.4,,,percent,
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.9,,,percent,
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.7,,,percent,
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.7,,,percent,
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over",Mood disorder,13.8,,,percent,
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over",Mood disorder,15.7,,,percent,
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over",Mood disorder,18.9,,,percent,
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over",Anxiety disorder,15.2,,,percent,
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over",Anxiety disorder,19.6,,,percent,
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Cannabis use, past 12 months",19.1,,,percent,
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Cannabis use, past 12 months",21.1,,,percent,
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Cannabis use, past 12 months",22.8,,,percent,
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over",Heavy drinking,12.9,,,percent,
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over",Heavy drinking,16.8,,,percent,
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over",Heavy drinking,15.8,,,percent,
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",73.2,,,percent,
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.2,,,percent,
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",64.7,,,percent,
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",71.4,,,percent,
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",65.2,,,percent,
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",63.6,,,percent,
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",6.0,,,percent,
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",8.3,,,percent,
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",8.8,,,percent,
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.3,,,percent,
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.4,,,percent,
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.9,,,percent,
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over",Mood disorder,6.2,,,percent,
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over",Mood disorder,7.3,,,percent,
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over",Mood disorder,9.6,,,percent,
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over",Anxiety disorder,8.4,,,percent,
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over",Anxiety disorder,11.2,,,percent,
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",16.8,,,percent,
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",16.2,,,percent,
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",15.6,,,percent,
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over",Heavy drinking,19.8,,,percent,
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over",Heavy drinking,19.7,,,percent,
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over",Heavy drinking,22.1,,,percent,
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",62.9,,,percent,
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.6,,,percent,
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",56.6,,,percent,
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",75.1,,,percent,
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",68.0,,,percent,
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",66.8,,,percent,
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Perceived mental health, fair or poor",5.7,,,percent,
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Perceived mental health, fair or poor",8.1,,,percent,
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,,,percent,
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.0,,,percent,
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.6,,,percent,
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.8,,,percent,
2019/2020,2019,Quebec,Males,"Total, 18 years and over",Mood disorder,4.6,,,percent,
2021/2022,2021,Quebec,Males,"Total, 18 years and over",Mood disorder,5.8,,,percent,
2023/2024,2023,Quebec,Males,"Total, 18 years and over",Mood disorder,7.3,,,percent,
2019/2020,2019,Quebec,Males,"Total, 18 years and over",Anxiety disorder,5.7,,,percent,
2021/2022,2021,Quebec,Males,"Total, 18 years and over",Anxiety disorder,8.5,,,percent,
2023/2024,2023,Quebec,Males,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Cannabis use, past 12 months",22.4,,,percent,
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Cannabis use, past 12 months",20.5,,,percent,
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Cannabis use, past 12 months",19.6,,,percent,
2019/2020,2019,Quebec,Males,"Total, 18 years and over",Heavy drinking,23.9,,,percent,
2021/2022,2021,Quebec,Males,"Total, 18 years and over",Heavy drinking,22.4,,,percent,
2023/2024,2023,Quebec,Males,"Total, 18 years and over",Heavy drinking,25.3,,,percent,
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.6,,,percent,
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.3,,,percent,
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",56.2,,,percent,
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",67.8,,,percent,
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",62.4,,,percent,
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",60.4,,,percent,
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Perceived mental health, fair or poor",6.3,,,percent,
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Perceived mental health, fair or poor",8.4,,,percent,
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Perceived mental health, fair or poor",9.7,,,percent,
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",24.6,,,percent,
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",24.2,,,percent,
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.0,,,percent,
2019/2020,2019,Quebec,Females,"Total, 18 years and over",Mood disorder,7.8,,,percent,
2021/2022,2021,Quebec,Females,"Total, 18 years and over",Mood disorder,8.7,,,percent,
2023/2024,2023,Quebec,Females,"Total, 18 years and over",Mood disorder,11.9,,,percent,
2019/2020,2019,Quebec,Females,"Total, 18 years and over",Anxiety disorder,11.1,,,percent,
2021/2022,2021,Quebec,Females,"Total, 18 years and over",Anxiety disorder,13.8,,,percent,
2023/2024,2023,Quebec,Females,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Cannabis use, past 12 months",11.4,,,percent,
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Cannabis use, past 12 months",11.9,,,percent,
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Cannabis use, past 12 months",11.7,,,percent,
2019/2020,2019,Quebec,Females,"Total, 18 years and over",Heavy drinking,15.8,,,percent,
2021/2022,2021,Quebec,Females,"Total, 18 years and over",Heavy drinking,17.1,,,percent,
2023/2024,2023,Quebec,Females,"Total, 18 years and over",Heavy drinking,18.8,,,percent,
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",64.3,,,percent,
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.9,,,percent,
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",57.1,,,percent,
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",64.3,,,percent,
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",54.3,,,percent,
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",51.3,,,percent,
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",10.0,,,percent,
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",14.2,,,percent,
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",16.3,,,percent,
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.4,,,percent,
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.1,,,percent,
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.5,,,percent,
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over",Mood disorder,9.8,,,percent,
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over",Mood disorder,11.6,,,percent,
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over",Mood disorder,13.3,,,percent,
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over",Anxiety disorder,10.0,,,percent,
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over",Anxiety disorder,12.9,,,percent,
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",22.5,,,percent,
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.4,,,percent,
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",20.9,,,percent,
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over",Heavy drinking,16.7,,,percent,
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over",Heavy drinking,17.6,,,percent,
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over",Heavy drinking,17.4,,,percent,
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",70.2,,,percent,
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",66.4,,,percent,
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.6,,,percent,
2019/2020,2019,Ontario,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",67.2,,,percent,
2021/2022,2021,Ontario,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",58.2,,,percent,
2023/2024,2023,Ontario,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",55.0,,,percent,
2019/2020,2019,Ontario,Males,"Total, 18 years and over","Perceived mental health, fair or poor",9.4,,,percent,
2021/2022,2021,Ontario,Males,"Total, 18 years and over","Perceived mental health, fair or poor",12.4,,,percent,
2023/2024,2023,Ontario,Males,"Total, 18 years and over","Perceived mental health, fair or poor",14.7,,,percent,
2019/2020,2019,Ontario,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.2,,,percent,
2021/2022,2021,Ontario,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.3,,,percent,
2023/2024,2023,Ontario,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.0,,,percent,
2019/2020,2019,Ontario,Males,"Total, 18 years and over",Mood disorder,7.9,,,percent,
2021/2022,2021,Ontario,Males,"Total, 18 years and over",Mood disorder,8.8,,,percent,
2023/2024,2023,Ontario,Males,"Total, 18 years and over",Mood disorder,10.3,,,percent,
2019/2020,2019,Ontario,Males,"Total, 18 years and over",Anxiety disorder,7.5,,,percent,
2021/2022,2021,Ontario,Males,"Total, 18 years and over",Anxiety disorder,8.7,,,percent,
2023/2024,2023,Ontario,Males,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Ontario,Males,"Total, 18 years and over","Cannabis use, past 12 months",26.3,,,percent,
2021/2022,2021,Ontario,Males,"Total, 18 years and over","Cannabis use, past 12 months",27.6,,,percent,
2023/2024,2023,Ontario,Males,"Total, 18 years and over","Cannabis use, past 12 months",23.6,,,percent,
2019/2020,2019,Ontario,Males,"Total, 18 years and over",Heavy drinking,20.8,,,percent,
2021/2022,2021,Ontario,Males,"Total, 18 years and over",Heavy drinking,20.8,,,percent,
2023/2024,2023,Ontario,Males,"Total, 18 years and over",Heavy drinking,20.3,,,percent,
2019/2020,2019,Ontario,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",68.5,,,percent,
2021/2022,2021,Ontario,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",66.2,,,percent,
2023/2024,2023,Ontario,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.9,,,percent,
2019/2020,2019,Ontario,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",61.5,,,percent,
2021/2022,2021,Ontario,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",50.6,,,percent,
2023/2024,2023,Ontario,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",47.8,,,percent,
2019/2020,2019,Ontario,Females,"Total, 18 years and over","Perceived mental health, fair or poor",10.5,,,percent,
2021/2022,2021,Ontario,Females,"Total, 18 years and over","Perceived mental health, fair or poor",15.8,,,percent,
2023/2024,2023,Ontario,Females,"Total, 18 years and over","Perceived mental health, fair or poor",18.0,,,percent,
2019/2020,2019,Ontario,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.6,,,percent,
2021/2022,2021,Ontario,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.8,,,percent,
2023/2024,2023,Ontario,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",26.0,,,percent,
2019/2020,2019,Ontario,Females,"Total, 18 years and over",Mood disorder,11.6,,,percent,
2021/2022,2021,Ontario,Females,"Total, 18 years and over",Mood disorder,14.2,,,percent,
2023/2024,2023,Ontario,Females,"Total, 18 years and over",Mood disorder,16.2,,,percent,
2019/2020,2019,Ontario,Females,"Total, 18 years and over",Anxiety disorder,12.5,,,percent,
2021/2022,2021,Ontario,Females,"Total, 18 years and over",Anxiety disorder,17.0,,,percent,
2023/2024,2023,Ontario,Females,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Ontario,Females,"Total, 18 years and over","Cannabis use, past 12 months",18.8,,,percent,
2021/2022,2021,Ontario,Females,"Total, 18 years and over","Cannabis use, past 12 months",21.4,,,percent,
2023/2024,2023,Ontario,Females,"Total, 18 years and over","Cannabis use, past 12 months",18.3,,,percent,
2019/2020,2019,Ontario,Females,"Total, 18 years and over",Heavy drinking,12.8,,,percent,
2021/2022,2021,Ontario,Females,"Total, 18 years and over",Heavy drinking,14.5,,,percent,
2023/2024,2023,Ontario,Females,"Total, 18 years and over",Heavy drinking,14.5,,,percent,
2019/2020,2019,Ontario,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",71.8,,,percent,
2021/2022,2021,Ontario,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",66.5,,,percent,
2023/2024,2023,Ontario,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.3,,,percent,
2019/2020,2019,Manitoba,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",62.9,,,percent,
2021/2022,2021,Manitoba,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",54.8,,,percent,
2023/2024,2023,Manitoba,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",51.6,,,percent,
2019/2020,2019,Manitoba,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",8.9,,,percent,
2021/2022,2021,Manitoba,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",12.9,,,percent,
2023/2024,2023,Manitoba,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",16.3,,,percent,
2019/2020,2019,Manitoba,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.1,,,percent,
2021/2022,2021,Manitoba,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.4,,,percent,
2023/2024,2023,Manitoba,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.4,,,percent,
2019/2020,2019,Manitoba,Both sexes,"Total, 18 years and over",Mood disorder,10.2,,,percent,
2021/2022,2021,Manitoba,Both sexes,"Total, 18 years and over",Mood disorder,10.8,,,percent,
2023/2024,2023,Manitoba,Both sexes,"Total, 18 years and over",Mood disorder,14.6,,,percent,
2019/2020,2019,Manitoba,Both sexes,"Total, 18 years and over",Anxiety disorder,9.7,,,percent,
2021/2022,2021,Manitoba,Both sexes,"Total, 18 years and over",Anxiety disorder,11.8,,,percent,
2023/2024,2023,Manitoba,Both sexes,"Total, 18 years and over",Anxiety disorder,16.4,,,percent,
2019/2020,2019,Manitoba,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",22.5,,,percent,
2021/2022,2021,Manitoba,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",23.5,,,percent,
2023/2024,2023,Manitoba,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",23.3,,,percent,
2019/2020,2019,Manitoba,Both sexes,"Total, 18 years and over",Heavy drinking,19.2,,,percent,
2021/2022,2021,Manitoba,Both sexes,"Total, 18 years and over",Heavy drinking,19.3,,,percent,
2023/2024,2023,Manitoba,Both sexes,"Total, 18 years and over",Heavy drinking,20.5,,,percent,
2019/2020,2019,Manitoba,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",71.8,,,percent,
2021/2022,2021,Manitoba,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",68.1,,,percent,
2023/2024,2023,Manitoba,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",64.5,,,percent,
2019/2020,2019,Manitoba,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",66.6,,,percent,
2021/2022,2021,Manitoba,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",58.4,,,percent,
2023/2024,2023,Manitoba,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",56.7,,,percent,
2019/2020,2019,Manitoba,Males,"Total, 18 years and over","Perceived mental health, fair or poor",7.6,,,percent,
2021/2022,2021,Manitoba,Males,"Total, 18 years and over","Perceived mental health, fair or poor",11.1,,,percent,
2023/2024,2023,Manitoba,Males,"Total, 18 years and over","Perceived mental health, fair or poor",13.5,,,percent,
2019/2020,2019,Manitoba,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.9,,,percent,
2021/2022,2021,Manitoba,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.1,,,percent,
2023/2024,2023,Manitoba,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.9,,,percent,
2019/2020,2019,Manitoba,Males,"Total, 18 years and over",Mood disorder,7.2,,,percent,
2021/2022,2021,Manitoba,Males,"Total, 18 years and over",Mood disorder,7.9,,,percent,
2023/2024,2023,Manitoba,Males,"Total, 18 years and over",Mood disorder,10.5,,,percent,
2019/2020,2019,Manitoba,Males,"Total, 18 years and over",Anxiety disorder,6.3,,,percent,
2021/2022,2021,Manitoba,Males,"Total, 18 years and over",Anxiety disorder,8.3,,,percent,
2023/2024,2023,Manitoba,Males,"Total, 18 years and over",Anxiety disorder,10.0,,,percent,
2019/2020,2019,Manitoba,Males,"Total, 18 years and over","Cannabis use, past 12 months",26.4,,,percent,
2021/2022,2021,Manitoba,Males,"Total, 18 years and over","Cannabis use, past 12 months",26.7,,,percent,
2023/2024,2023,Manitoba,Males,"Total, 18 years and over","Cannabis use, past 12 months",27.1,,,percent,
2019/2020,2019,Manitoba,Males,"Total, 18 years and over",Heavy drinking,23.9,,,percent,
2021/2022,2021,Manitoba,Males,"Total, 18 years and over",Heavy drinking,24.0,,,percent,
2023/2024,2023,Manitoba,Males,"Total, 18 years and over",Heavy drinking,23.6,,,percent,
2019/2020,2019,Manitoba,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",70.6,,,percent,
2021/2022,2021,Manitoba,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",67.9,,,percent,
2023/2024,2023,Manitoba,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",64.7,,,percent,
2019/2020,2019,Manitoba,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",59.4,,,percent,
2021/2022,2021,Manitoba,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",51.3,,,percent,
2023/2024,2023,Manitoba,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",46.5,,,percent,
2019/2020,2019,Manitoba,Females,"Total, 18 years and over","Perceived mental health, fair or poor",10.1,,,percent,
2021/2022,2021,Manitoba,Females,"Total, 18 years and over","Perceived mental health, fair or poor",14.7,,,percent,
2023/2024,2023,Manitoba,Females,"Total, 18 years and over","Perceived mental health, fair or poor",19.1,,,percent,
2019/2020,2019,Manitoba,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.3,,,percent,
2021/2022,2021,Manitoba,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.6,,,percent,
2023/2024,2023,Manitoba,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.0,,,percent,
2019/2020,2019,Manitoba,Females,"Total, 18 years and over",Mood disorder,13.1,,,percent,
2021/2022,2021,Manitoba,Females,"Total, 18 years and over",Mood disorder,13.6,,,percent,
2023/2024,2023,Manitoba,Females,"Total, 18 years and over",Mood disorder,18.7,,,percent,
2019/2020,2019,Manitoba,Females,"Total, 18 years and over",Anxiety disorder,13.0,,,percent,
2021/2022,2021,Manitoba,Females,"Total, 18 years and over",Anxiety disorder,15.3,,,percent,
2023/2024,2023,Manitoba,Females,"Total, 18 years and over",Anxiety disorder,22.9,,,percent,
2019/2020,2019,Manitoba,Females,"Total, 18 years and over","Cannabis use, past 12 months",18.7,,,percent,
2021/2022,2021,Manitoba,Females,"Total, 18 years and over","Cannabis use, past 12 months",20.3,,,percent,
2023/2024,2023,Manitoba,Females,"Total, 18 years and over","Cannabis use, past 12 months",19.6,,,percent,
2019/2020,2019,Manitoba,Females,"Total, 18 years and over",Heavy drinking,14.7,,,percent,
2021/2022,2021,Manitoba,Females,"Total, 18 years and over",Heavy drinking,14.7,,,percent,
2023/2024,2023,Manitoba,Females,"Total, 18 years and over",Heavy drinking,17.5,,,percent,
