indicator,breakdown,group,value,ci_low,ci_high,vis_title,warning
Suicidal thoughts,Age,65+,1.0,0.7,1.2,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicidal thoughts,Age,Total population,2.6,2.3,2.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Sex,Males,0.7,0.5,0.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Sex,Females,0.9,0.6,1.2,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Sex,Total population,0.8,0.6,1.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Age,15-24,1.8,1.2,2.4,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Age,25-34,1.4,0.6,2.1,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Age,35-44,0.6,0.3,0.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Age,45-54,0.6,0.3,0.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Age,65+,0.3,0.2,0.5,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide plans,Age,Total population,0.8,0.6,1.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide attempts,Sex,Males,0.1,0.1,0.2,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide attempts,Sex,Females,0.5,0.2,0.7,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide attempts,Sex,Total population,0.3,0.2,0.4,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Suicide attempts,Age,Total population,0.3,0.2,0.4,,
