ref_date_raw,start_year,geo,sex,age_group,indicator,characteristic,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,uom,scalar_factor
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, financial concerns",Number of persons,,number,f,False,v114656180,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, number of persons",,number,f,False,v114656181,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, number of persons",,number,f,False,v114656182,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, financial concerns",Percent,,percent,f,False,v114656183,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, percent",,percent,f,False,v114656184,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, percent",,percent,f,False,v114656185,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, financial concerns",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656186,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, family",Number of persons,,number,f,False,v114656187,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, family","Low 95% confidence interval, number of persons",,number,f,False,v114656188,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, family","High 95% confidence interval, number of persons",,number,f,False,v114656189,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, family",Percent,,percent,f,False,v114656190,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, family","Low 95% confidence interval, percent",,percent,f,False,v114656191,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, family","High 95% confidence interval, percent",,percent,f,False,v114656192,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, family",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656193,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",Number of persons,3400.0,number,,False,v114656194,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, number of persons",2800.0,number,,False,v114656195,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, number of persons",3900.0,number,,False,v114656196,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",Percent,79.2,percent,,False,v114656197,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, percent",64.7,percent,,False,v114656198,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, percent",88.8,percent,,False,v114656199,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",Statistically different from the Canada (excluding territories) rate,0.0,percent,,False,v114656200,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",Number of persons,,number,f,False,v114656201,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, number of persons",,number,f,False,v114656202,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, number of persons",,number,f,False,v114656203,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",Percent,,percent,f,False,v114656204,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, percent",,percent,f,False,v114656205,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, percent",,percent,f,False,v114656206,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656207,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, health",Number of persons,,number,f,False,v114656208,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, health","Low 95% confidence interval, number of persons",,number,f,False,v114656209,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, health","High 95% confidence interval, number of persons",,number,f,False,v114656210,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, health",Percent,,percent,f,False,v114656211,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, health","Low 95% confidence interval, percent",,percent,f,False,v114656212,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, health","High 95% confidence interval, percent",,percent,f,False,v114656213,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, health",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656214,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, other",Number of persons,,number,f,False,v114656215,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, other","Low 95% confidence interval, number of persons",,number,f,False,v114656216,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, other","High 95% confidence interval, number of persons",,number,f,False,v114656217,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, other",Percent,,percent,f,False,v114656218,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, other","Low 95% confidence interval, percent",,percent,f,False,v114656219,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, other","High 95% confidence interval, percent",,percent,f,False,v114656220,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, other",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656221,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, none",Number of persons,,number,f,False,v114656222,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, none","Low 95% confidence interval, number of persons",,number,f,False,v114656223,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, none","High 95% confidence interval, number of persons",,number,f,False,v114656224,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, none",Percent,,percent,f,False,v114656225,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, none","Low 95% confidence interval, percent",,percent,f,False,v114656226,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, none","High 95% confidence interval, percent",,percent,f,False,v114656227,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Females,12 to 17 years,"Main source of stress in day-to-day life, none",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656228,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",Number of persons,23600.0,number,,False,v114656229,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, number of persons",21800.0,number,,False,v114656230,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, number of persons",25300.0,number,,False,v114656231,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",Percent,83.6,percent,,False,v114656232,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, percent",76.8,percent,,False,v114656233,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, percent",88.6,percent,,False,v114656234,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",Statistically different from the Canada (excluding territories) rate,1.0,percent,,False,v114656235,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",Number of persons,26500.0,number,,False,v114656236,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, number of persons",25000.0,number,,False,v114656237,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, number of persons",27700.0,number,,False,v114656238,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",Percent,93.8,percent,,False,v114656239,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, percent",88.8,percent,,False,v114656240,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, percent",96.7,percent,,False,v114656241,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",Statistically different from the Canada (excluding territories) rate,1.0,percent,,False,v114656242,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work",Number of persons,6300.0,number,e,False,v114656243,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work","Low 95% confidence interval, number of persons",4500.0,number,e,False,v114656244,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work","High 95% confidence interval, number of persons",8400.0,number,e,False,v114656245,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work",Percent,22.5,percent,e,False,v114656246,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work","Low 95% confidence interval, percent",16.2,percent,e,False,v114656247,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work","High 95% confidence interval, percent",30.4,percent,e,False,v114656248,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work",Statistically different from the Canada (excluding territories) rate,0.0,percent,e,False,v114656249,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",Number of persons,8200.0,number,,False,v114656250,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, number of persons",6100.0,number,,False,v114656251,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, number of persons",10700.0,number,,False,v114656252,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",Percent,29.0,percent,,False,v114656253,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, percent",21.9,percent,,False,v114656254,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, percent",37.4,percent,,False,v114656255,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",Statistically different from the Canada (excluding territories) rate,0.0,percent,,False,v114656256,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family",Number of persons,2700.0,number,e,False,v114656257,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family","Low 95% confidence interval, number of persons",1200.0,number,e,False,v114656258,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family","High 95% confidence interval, number of persons",4100.0,number,e,False,v114656259,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family",Percent,9.7,percent,e,False,v114656260,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family","Low 95% confidence interval, percent",5.7,percent,e,False,v114656261,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family","High 95% confidence interval, percent",16.1,percent,e,False,v114656262,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family",Statistically different from the Canada (excluding territories) rate,0.0,percent,e,False,v114656263,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",Number of persons,4400.0,number,e,False,v114656264,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, number of persons",2200.0,number,e,False,v114656265,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, number of persons",6100.0,number,e,False,v114656266,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",Percent,15.6,percent,e,False,v114656267,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, percent",9.8,percent,e,False,v114656268,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, percent",24.0,percent,e,False,v114656269,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",Statistically different from the Canada (excluding territories) rate,0.0,percent,e,False,v114656270,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",Number of persons,2600.0,number,e,False,v114656271,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, number of persons",1300.0,number,e,False,v114656272,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, number of persons",4000.0,number,e,False,v114656273,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",Percent,9.4,percent,e,False,v114656274,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, percent",5.5,percent,e,False,v114656275,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, percent",15.5,percent,e,False,v114656276,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",Statistically different from the Canada (excluding territories) rate,0.0,percent,e,False,v114656277,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health",Number of persons,,number,f,False,v114656278,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health","Low 95% confidence interval, number of persons",,number,f,False,v114656279,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health","High 95% confidence interval, number of persons",,number,f,False,v114656280,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health",Percent,,percent,f,False,v114656281,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health","Low 95% confidence interval, percent",,percent,f,False,v114656282,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health","High 95% confidence interval, percent",,percent,f,False,v114656283,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656284,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other",Number of persons,,number,f,False,v114656285,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other","Low 95% confidence interval, number of persons",,number,f,False,v114656286,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other","High 95% confidence interval, number of persons",,number,f,False,v114656287,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other",Percent,,percent,f,False,v114656288,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other","Low 95% confidence interval, percent",,percent,f,False,v114656289,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other","High 95% confidence interval, percent",,percent,f,False,v114656290,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656291,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none",Number of persons,3100.0,number,e,False,v114656292,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none","Low 95% confidence interval, number of persons",1900.0,number,e,False,v114656293,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none","High 95% confidence interval, number of persons",4800.0,number,e,False,v114656294,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none",Percent,11.0,percent,e,False,v114656295,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none","Low 95% confidence interval, percent",6.7,percent,e,False,v114656296,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none","High 95% confidence interval, percent",17.7,percent,e,False,v114656297,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none",Statistically different from the Canada (excluding territories) rate,1.0,percent,e,False,v114656298,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",Number of persons,13300.0,number,,False,v114656299,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, number of persons",12300.0,number,,False,v114656300,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, number of persons",14100.0,number,,False,v114656301,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",Percent,96.3,percent,,False,v114656302,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, percent",89.8,percent,,False,v114656303,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, percent",98.7,percent,,False,v114656304,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",Statistically different from the Canada (excluding territories) rate,1.0,percent,,False,v114656305,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",Number of persons,13200.0,number,,False,v114656306,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, number of persons",12100.0,number,,False,v114656307,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, number of persons",14100.0,number,,False,v114656308,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",Percent,95.8,percent,,False,v114656309,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, percent",87.9,percent,,False,v114656310,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, percent",98.6,percent,,False,v114656311,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",Statistically different from the Canada (excluding territories) rate,1.0,percent,,False,v114656312,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, work",Number of persons,3200.0,number,e,False,v114656313,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, work","Low 95% confidence interval, number of persons",1700.0,number,e,False,v114656314,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, work","High 95% confidence interval, number of persons",4800.0,number,e,False,v114656315,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, work",Percent,23.3,percent,e,False,v114656316,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, work","Low 95% confidence interval, percent",14.1,percent,e,False,v114656317,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, work","High 95% confidence interval, percent",35.9,percent,e,False,v114656318,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, work",Statistically different from the Canada (excluding territories) rate,0.0,percent,e,False,v114656319,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",Number of persons,4700.0,number,e,False,v114656320,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, number of persons",3100.0,number,e,False,v114656321,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, number of persons",6500.0,number,e,False,v114656322,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",Percent,33.9,percent,e,False,v114656323,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns","Low 95% confidence interval, percent",23.1,percent,e,False,v114656324,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns","High 95% confidence interval, percent",46.7,percent,e,False,v114656325,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",Statistically different from the Canada (excluding territories) rate,0.0,percent,e,False,v114656326,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, family",Number of persons,,number,f,False,v114656327,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, family","Low 95% confidence interval, number of persons",,number,f,False,v114656328,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, family","High 95% confidence interval, number of persons",,number,f,False,v114656329,2016,2016A000211,Number,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, family",Percent,,percent,f,False,v114656330,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, family","Low 95% confidence interval, percent",,percent,f,False,v114656331,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, family","High 95% confidence interval, percent",,percent,f,False,v114656332,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, family",Statistically different from the Canada (excluding territories) rate,,percent,f,False,v114656333,2016,2016A000211,Percent,units
2016,2016,Prince Edward Island,Males,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",Number of persons,,number,f,False,v114656334,2016,2016A000211,Number,units
