ref_date_raw,start_year,geo,sex,age_group,indicator,characteristic,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,uom,scalar_factor
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",Number of persons,2363100.0,number,,False,v114653324,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, number of persons",2269000.0,number,,False,v114653325,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, number of persons",2467800.0,number,,False,v114653326,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",Percent,23.7,percent,,False,v114653327,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, percent",22.7,percent,,False,v114653328,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, percent",24.7,percent,,False,v114653329,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",Number of persons,3224500.0,number,,False,v114653331,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, number of persons",3086400.0,number,,False,v114653332,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, number of persons",3354800.0,number,,False,v114653333,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",Percent,11.0,percent,,False,v114653334,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, percent",10.6,percent,,False,v114653335,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, percent",11.5,percent,,False,v114653336,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health",Number of persons,2160400.0,number,,False,v114653338,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health","Low 95% confidence interval, number of persons",2069000.0,number,,False,v114653339,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health","High 95% confidence interval, number of persons",2260500.0,number,,False,v114653340,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health",Percent,7.4,percent,,False,v114653341,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health","Low 95% confidence interval, percent",7.1,percent,,False,v114653342,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health","High 95% confidence interval, percent",7.7,percent,,False,v114653343,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other",Number of persons,891300.0,number,,False,v114653345,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other","Low 95% confidence interval, number of persons",831300.0,number,,False,v114653346,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other","High 95% confidence interval, number of persons",965600.0,number,,False,v114653347,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other",Percent,3.0,percent,,False,v114653348,2016,,Percent,units
